key,rec
15902,5690073
56200,1206830
64417,111644
70249,1940981
78048,3325794
90741,8825946
108021,3955059
117883,7737490
151570,8040122
161180,3919752
192477,7469622
225574,2872035
226189,2712387
227360,2196992
233372,9975320
234874,7349671
272964,9035439
303188,6557486
305693,7880587
321140,5799958
361408,1814103
384988,7303353
403949,3311575
454850,6194667
500828,5191126
511354,1396544
528399,6573603
557418,8492790
593726,434288
596533,2054750
614651,5601873
637189,721621
651473,2389049
673833,5700697
682814,5399828
692339,5412227
709293,74213
748744,9285255
780161,8933461
792228,3738389
812977,3535895
823539,3989799
832348,9136080
854044,5411873
894837,1404890
906398,4640136
918595,3875134
935366,8469876
956282,3144872
972416,5901578
980732,7319017
988749,6250523
995100,2916736
999143,5660825
1014390,5904305
1027268,8116580
1055889,136209
1084946,9453259
1168532,7481058
1178980,2531732
1188222,3851766
1195172,7872170
1200211,1072912
1212765,3087656
1216328,7084463
1227782,9407298
1242711,2215190
1254721,4377745
1283269,3528218
1293165,3826283
1298183,8114537
1312670,9577507
1314411,8938587
1328045,8476393
1357679,2825565
1359497,2561008
1367933,8454012
1386285,8091056
1387492,4414517
1390482,1001232
1448379,9929845
1449797,7884566
1467211,4271749
1505474,8133545
1530618,1739897
1540981,6761088
1600725,6398007
1650607,5315215
1673452,9590330
1698724,9393969
1733878,899784
1743130,4283848
1749801,2539384
1753933,645336
1809229,2271257
1813390,7662387
1815466,6227141
1820526,5903359
1831684,3954233
1851969,8920803
1875165,3289613
1882853,9101596
1987352,540406
1988818,3275494
1989550,9446127
1991750,8047737
2036564,6296096
2045223,1854771
2066227,2877096
2093157,8763062
2126387,6605302
2144700,6992837
2181047,5585784
2183206,9533292
2194997,9795413
2204232,5400794
2214324,6905563
2229183,446078
2232278,7862205
2240216,1582980
2245706,6764367
2251300,8732510
2274099,2070747
2289783,5386465
2322234,9718913
2328580,7225373
2369263,1739597
2390132,1183046
2397596,5356789
2402696,1916241
2436826,7107270
2440662,2055917
2452218,8089186
2519019,8468141
2526022,834289
2552684,9076416
2583126,4661527
2597384,2925873
2599262,474656
2655669,3399073
2657582,281158
2788982,6053630
2829675,5510528
2843150,3794648
2848658,5818131
2856561,5591592
2887255,4130821
2900689,8724584
2906474,6623880
2927623,6465466
2951797,8528355
2978448,3656696
2981429,252841
3010213,2161761
3010679,8119882
3077670,3360771
3085412,8570404
3092930,5048310
3094728,2270695
3133898,8827828
3138108,4889684
3141843,3579595
3161287,8912724
3161911,5703305
3182967,1544976
3193496,4610988
3202617,7643622
3207920,6236307
3230839,5484751
3257607,6206059
3257690,4847965
3285644,4931146
3313997,36495
3326121,4162063
3341149,5250381
3341689,3302233
3342845,4372813
3343869,2880880
3367097,4887259
3373986,4959135
3385179,5320967
3388212,7511353
3390261,4799427
3423800,7369873
3436125,365936
3482298,6917061
3507714,8181135
3568480,4105064
3584426,270813
3614985,6461553
3658868,4827180
3667368,2205799
3692494,7144579
3702983,5056711
3753375,2351613
3783480,9796152
3793241,4693234
3810218,2526592
3822384,7736947
3838459,1248266
3892112,3865799
3912830,8982459
3919073,6890353
3928882,2585008
3930273,2673371
3933842,4628975
3971099,6223938
3991283,8970543
3996445,2418573
4015430,5962239
4032155,5887943
4066780,6804654
4076068,5718947
4087473,5335216
4118380,2029164
4125588,6274290
4136214,9312418
4155514,2433785
4233487,1530855
4280156,592768
4281410,9779989
4297239,7343764
4299012,6057024
4340615,2823864
4344359,4198695
4363540,6200769
4366453,1699297
4387501,4356941
4462833,1234978
4471682,1936408
4473033,2004725
4499532,9408585
4566345,5011574
4583379,3658639
4653138,2840750
4655139,6770252
4675938,8963981
4725831,403582
4800132,2404702
4807783,3519709
4822889,6734526
4836968,975825
4887084,2207400
4899657,6235710
4972547,9337235
4983892,5866460
5013509,6753988
5016666,4402624
5020081,600336
5022298,4424320
5037364,1231814
5064238,5190501
5064926,4018041
5073218,5445136
5082791,5243543
5111658,7700833
5120122,3388221
5122227,1536611
5185924,5453658
5197999,7028721
5224227,6231153
5244757,4934841
5300299,299373
5320511,8546711
5324582,1555967
5335167,4785836
5395762,9411104
5401943,8379243
5405041,490157
5415761,2317285
5460431,5571566
5475950,7801663
5476742,1220325
5479867,2211838
5482700,1355159
5488066,3459150
5508389,4849945
5600564,9116883
5604824,4925763
5630627,33681
5642466,4139777
5670860,90722
5706583,307454
5722049,6302007
5808965,5773526
5811786,4261406
5889056,2761645
5889262,6060618
5955798,5482992
5963297,8483784
6061915,6770625
6065591,7884988
6069974,6588180
6087403,3844170
6115070,4455327
6116592,5121390
6127611,7214718
6151544,4097275
6170404,4796107
6175440,8846701
6201810,6359726
6213147,1791187
6216291,1742192
6247147,2560047
6264619,800858
6286598,9707497
6305784,9045105
6314541,6924585
6318156,9236794
6327612,7841680
6331291,196947
6350160,5382284
6351148,3480852
6403383,3872930
6448458,4565913
6463273,3867839
6474900,2089093
6522435,5408284
6523714,5678858
6587878,3743808
6593440,8891164
6603923,7039967
6617320,6198717
6724836,7737093
6726062,8753094
6727970,5434084
6748567,5737649
6777375,3020002
6792762,723411
6825254,8963044
6829903,6791430
6840008,1406656
6847495,6873179
6871239,609680
6879111,9906013
6895780,2939029
6896465,3911294
6900776,2284628
6902553,9722068
6902717,5339858
6930538,3897620
6937013,5432883
6954769,3100565
6980304,9877796
6995268,4283497
6999533,3152061
7015031,5610400
7087401,8428186
7092707,1380747
7118197,9929870
7134308,2550948
7136792,8539468
7177102,2318889
7242647,9283732
7281594,5366429
7293833,2255672
7313021,8855620
7321809,7802122
7329963,9652903
7341221,446027
7367758,9330085
7450834,1140507
7452604,7371098
7453170,9408836
7462809,3183378
7466041,5243059
7488029,2954573
7544747,5136094
7549168,8934327
7590626,539273
7622882,1257988
7624622,2631178
7624722,1133315
7643572,8108567
7671367,1222381
7722452,6777517
7776559,7328470
7779738,3377989
7785112,1924827
7794782,3860537
7857789,5982604
7905384,6145591
7906096,8777506
7928278,2141848
8023932,1485473
8050947,5937031
8073230,3124182
8082732,8714536
8102323,7651112
8114521,6060021
8196196,3590034
8204101,5460666
8245514,1371838
8247813,1064363
8250894,8229492
8252214,662365
8267069,9501629
8270703,7056252
8299871,2079832
8301936,5572785
8337244,4913320
8338925,484389
8345147,2747616
8349585,9314139
8354098,133408
8373569,1269270
8378083,5113106
8435526,4820715
8448950,7639860
8462465,6367478
8465050,5298440
8489163,551336
8560285,1984945
8575430,8686349
8581026,395749
8592497,8672104
8605213,6932752
8633057,5658212
8681401,6346497
8696535,222501
8717750,4552340
8723885,7589793
8738048,4426441
8749293,7822427
8810521,1493198
8828735,9841588
8845229,7648063
8877497,5773312
8911454,9002140
8930372,2813030
8969095,1953785
8986770,9142237
9012509,3508904
9022057,9918995
9029481,8361938
9046733,1610923
9121378,2529975
9125813,7784907
9131087,9945981
9131592,2542736
9135094,3777420
9151020,9646877
9152912,9867712
9168327,1988912
9209281,4726058
9220822,4429623
9236755,8149331
9238273,1978009
9250452,852915
9282468,2481327
9290822,3008894
9337279,6745813
9362989,80288
9366772,5987886
9368213,8885875
9368247,5067135
9390284,1106969
9401287,8324324
9402833,8228398
9420079,159332
9435168,5455795
9503609,116676
9530003,1788065
9531868,3017542
9535790,2566562
9546544,867998
9549545,8732143
9556637,6550831
9585182,3610116
9624017,4584400
9641183,9877892
9701054,7567396
9703803,4537081
9708829,620056
9728201,9892082
9746829,5036981
9834953,5193998
9870318,7964077
9883547,4280435
9912480,742622
9924697,464192
9995494,9134804
9997504,5423297
10033391,2326366
10036290,1031349
10045374,9507008
10119003,3772772
10178879,7054450
10192071,9082889
10233797,5977661
10272520,2217078
10278899,9342937
10293766,4716320
10324054,3136315
10324594,5350037
10336289,7095725
10374439,5967122
10420446,8850198
10471848,2183552
10476586,4531961
10560727,5923744
10580791,1632500
10593155,4775339
10622853,7938118
10643719,6739928
10653104,8533362
10659852,5809200
10685243,2406034
10719712,9305562
10721023,2449225
10730423,8776956
10750774,2361582
10757551,7773603
10786729,2333858
10799955,2914704
10804819,2394003
10813319,8508543
10826606,3571533
10843835,514957
10911215,2720536
10947390,3214767
10965286,3526751
11001189,1643492
11035456,8631410
11037432,4088887
11049572,9793582
11067498,6146925
11067506,9290397
11099006,4813164
11111810,5700078
11125281,2689799
11159293,1412400
11220091,9033415
11255206,2762666
11308762,3729004
11314842,2976242
11316197,9069868
11346354,104337
11393500,2547532
11402766,1016735
11419414,5162171
11422858,2638045
11425583,8505401
11432264,5151035
11433582,197673
11471532,9047141
11481524,6649578
11488352,7805826
11496727,1956562
11520042,2163069
11552316,6449324
11561669,1650524
11569320,9118832
11572356,7210267
11573174,3552189
11584931,5677447
11585921,916574
11628681,5815385
11629274,4190725
11649903,2065686
11688618,7861602
11724186,6506479
11731211,2198998
11760606,5848266
11769860,5224446
11841380,6525235
11869770,2142588
11875973,6647883
11913382,7942133
11937783,9972252
11938930,4818808
11978732,9948200
12038897,6548340
12049579,4423174
12052986,7069526
12096370,1791687
12096957,6583220
12105713,2347272
12118561,7240701
12213757,771853
12239015,6867026
12258466,3324029
12284348,6968887
12286996,2919271
12300288,4288242
12316251,3685190
12317625,6782952
12358108,2254220
12366649,3840699
12376735,4572406
12381528,3902302
12396551,5611001
12443094,2167591
12464910,7556371
12590333,1517697
12598689,9082311
12601197,1797627
12609452,5058165
12627328,8451776
12637083,7852059
12643705,4968923
12663938,6014436
12691334,447335
12696796,6615596
12704674,9465646
12738943,7202386
12769579,5651764
12777884,6253351
12792524,2074798
12862022,2478184
12881964,8072702
12895200,3581494
12903843,7903765
12906759,5318281
12930355,9468620
12933393,769966
12962149,5219782
12991681,4617398
13026525,1200565
13044364,7127565
13045673,5126073
13092467,4982253
13116569,6431285
13134442,9565500
13161148,7199170
13174687,3493027
13176756,9680228
13177660,2813816
13256956,682684
13277573,3859437
13309517,9289281
13322764,3468126
13358583,150811
13368961,2060293
13377309,5117240
13385574,3334232
13395161,2977113
13423186,5964501
13439844,2240004
13449116,5012680
13485233,1574433
13509659,2665073
13519794,2226501
13538126,7721483
13538321,321326
13553942,4040683
13604429,3952379
13607428,5646783
13607528,1457067
13737353,4467418
13737602,1754753
13739440,4859714
13753618,4765274
13782119,1510679
13846234,9724631
13878889,2741786
13880385,2844213
13917349,5603515
13923381,6130802
13928171,6500829
13928835,2848688
13931250,8676889
13980113,2318700
13993413,5248812
14000284,4050486
14047518,8176291
14050618,4150375
14054187,9334292
14072291,426333
14084599,9059380
14099794,4576407
14114979,8908873
14137409,4856627
14146212,8803704
14185254,480218
14207615,37689
14244587,1902891
14258083,3514868
14264870,3268289
14273867,8644409
14326920,8816788
14374662,6981019
14428880,9947994
14429624,2426961
14433646,3975216
14447333,4395445
14465256,7681809
14468413,4750169
14474599,8851832
14485688,7420448
14526977,277348
14542569,8537401
14564780,1592048
14570961,705547
14599816,8803655
14606064,2911815
14619834,3307552
14682505,8215882
14690861,6395251
14704534,3207853
14823462,4463929
14836707,4374356
14845230,5381773
14866690,6315347
14893918,928425
14897184,8053554
14898839,7869414
14900151,2839905
14905173,2437715
14983050,9761161
14983261,6972680
15002533,165070
15083539,5486142
15134507,3366951
15138134,6881313
15170680,775826
15180800,5198959
15189095,3537285
15203331,4662511
15242926,2521287
15289478,7089622
15294314,4887165
15350341,8347051
15364022,155312
15376332,1986011
15395895,9644064
15417186,1101705
15434195,1802828
15453974,251797
15481015,661697
15493382,6318616
15512940,6595604
15518187,5820477
15537799,2770303
15619249,1830518
15626264,1463752
15647185,7661062
15736716,8508401
15752047,2383780
15769779,6877679
15779196,6289833
15826407,8454310
15877622,8450027
15883711,9815918
15902168,8320878
15999019,1482739
16021532,2892943
16028839,7192253
16032144,3769805
16106420,2622505
16120553,1028766
16166609,8918090
16180011,8502896
16199918,2892356
16200054,4757970
16225962,4605111
16251032,7684101
16276848,7593849
16293194,6527156
16325113,1196288
16367387,6790967
16370878,2994404
16428519,5487600
16439037,473752
16449859,293140
16458111,8603127
16504256,5558812
16510682,1645929
16535571,9177767
16543575,1568088
16547416,275376
16550860,9421173
16645738,3539680
16662898,9375587
16680487,7160932
16685351,1201402
16699313,8177014
16744327,4428782
16754622,3097735
16761148,4332508
16769631,8007552
16829011,9547941
16912841,4137005
16941084,9770659
16984490,5984372
16991342,9221852
17001675,7781181
17003321,1733709
17010504,4566923
17017148,3701888
17021015,3015885
17024514,8245622
17082701,2897588
17083650,6230510
17089194,1430428
17103636,6562381
17145650,6722066
17162691,565035
17209303,2082736
17303393,5316914
17314095,7130317
17382178,9239635
17389795,9396124
17405024,735183
17422115,1735040
17468895,9686674
17474019,9546385
17479918,3015452
17480286,8834940
17501993,6176357
17511727,848828
17515120,1750060
17534722,6878677
17540314,4997453
17622725,3174060
17694020,2625293
17732326,1778247
17742871,2454934
17808675,7103705
17830294,4518729
17836374,9534735
17870544,7324263
17919137,1705538
17937359,4215526
17966677,6492628
18015840,7534197
18026265,9582642
18030988,3116166
18084699,2728139
18095474,2155894
18098330,2882709
18101841,629500
18134299,2873387
18135992,162918
18138199,3754041
18147637,5304864
18153468,5919927
18174738,4302456
18178117,8484842
18192636,453840
18197793,5326551
18208412,3419817
18224108,2813555
18224896,8292311
18243316,8611943
18290481,8344863
18299703,6723122
18300053,8927918
18301424,3340521
18302805,9832464
18320300,1045496
18367673,8287581
18398044,5887341
18439820,8263947
18441289,2256453
18479648,8800236
18532179,1659219
18545402,1831610
18553510,3457766
18567611,5442050
18604454,8657249
18621376,3304113
18625546,3677295
18662734,3370558
18692930,6036834
18699290,2472395
18705568,9717711
18741647,7769554
18755203,7065470
18758400,9013043
18773428,7275555
18776421,178865
18792113,1966778
18794276,6552584
18794498,4689579
18838561,7894888
18890109,5196614
18892962,2004164
18913295,7838712
18923544,5121330
18935345,7532044
18980040,294823
19008368,8342622
19047552,229571
19050621,4488000
19066439,1971124
19067860,820463
19104902,1283489
19116329,8413197
19132630,1743189
19136458,7289844
19163805,9674978
19195965,5386526
19206071,5918041
19218833,2421398
19257558,3066689
19297022,1825224
19303065,7119822
19305519,9143705
19332491,1873846
19346924,8827737
19367463,6700743
19373420,8286476
19385720,3573287
19395206,6803909
19403403,7006864
19410076,4130088
19419894,6156270
19436387,6237110
19441683,4455726
19520502,9226762
19569968,3651194
19581864,8000936
19600277,9033351
19778645,5817575
19788063,6259760
19792409,558862
19794171,4782566
19820310,8173909
19824760,9661951
19852547,4940365
19876613,9589886
19880372,3044772
19912163,1082373
19913955,5867742
19925862,4548630
19943991,7176566
19947810,7535033
19962236,5205114
19962969,1867925
19998975,5693298
20025547,9784819
20068237,5609569
20079686,7720224
20185141,1091711
20210663,4519329
20217713,2910125
20221305,196753
20223931,7933946
20274612,1277664
20358460,1676810
20403481,9982741
20405012,3338877
20407931,8417524
20442997,3280900
20447190,8295426
20463006,2993206
20468104,4319165
20476198,4245523
20498552,498064
20530658,8015524
20533575,7459447
20547387,3846945
20548719,1229013
20549152,4645873
20557143,7575780
20567800,8747333
20594885,9012530
20600907,2582619
20628214,7097273
20650145,9125668
20664182,5500274
20732524,2011589
20742660,5601034
20758825,2569476
20764796,1788395
20769767,2091106
20775185,744434
20812150,8625435
20821066,8620020
20861067,96657
20896584,1248736
20911227,6973746
20912246,8713451
20970741,9121122
20979330,6953886
21007345,3360904
21015712,2347607
21035728,6255732
21088200,268099
21090343,4712735
21144114,3951980
21155611,5252294
21163494,224657
21210451,357498
21218539,7719709
21284983,92328
21285539,232586
21295112,6067213
21320548,6000089
21329739,6372528
21330068,2595412
21361284,8372115
21382381,2741211
21433081,291893
21444587,1570463
21497805,1488821
21505957,8697847
21592445,9116814
21634127,11884
21650721,7849377
21674457,2305146
21711105,8629165
21716126,5377336
21718550,3028482
21813247,3537006
21814132,7409913
21821818,5416244
21849246,2371081
21867948,7239352
21898770,3292297
21906373,9635306
21933350,186377
21949999,6467500
21975025,9851263
21976860,3885905
22054982,7012983
22063338,224460
22112161,5480710
22124480,6322430
22148704,5980379
22220860,497881
22229689,3933928
22231098,9299715
22256430,6442331
22309539,7295593
22327534,4961202
22328393,825031
22339427,4566332
22381688,3576337
22384777,5585993
22460530,8555330
22475385,8934067
22481515,3987339
22482275,7517415
22483822,3333335
22509106,1766504
22532028,5453942
22537515,5108632
22537897,5447825
22546266,7386978
22560104,2914056
22571739,4127055
22581757,685999
22676646,8570860
22730962,8500045
22775646,8862953
22840824,949109
22871140,7385486
22881512,8218454
22901659,8732057
22902963,7518894
22920500,7511440
22996957,662554
23006211,4686665
23011347,8122444
23031786,9198590
23053333,7204754
23120257,8716517
23126023,8123615
23127226,6475097
23147352,6972484
23225736,755253
23233731,2879693
23233888,9277625
23241093,2056748
23247479,8864528
23252512,9302235
23288191,4534004
23336025,7097472
23384036,5738096
23404308,7542567
23463248,4613611
23482088,4207223
23507224,8532287
23547004,5687032
23560135,3532901
23569701,2526336
23578165,1038043
23610377,396281
23643264,2832287
23684036,4546239
23730014,760010
23736028,7408032
23738657,8262971
23773011,8626241
23780342,4965711
23802367,8253672
23823433,5750735
23843202,9004528
23867545,9015900
23886511,7999103
23912150,9802062
23914259,4347327
23918636,7919936
23942994,8459788
23956458,8123158
23974307,2087577
23974970,6804505
23991299,3271239
24036609,522269
24049206,1833404
24068757,4329720
24105158,3834582
24108293,7425268
24118632,1102360
24128409,1835241
24144704,5278358
24151253,9808947
24167819,1345587
24174989,8887900
24207934,1318217
24332008,2669240
24349460,1713031
24355136,3172848
24387908,9879450
24406344,4324242
24450621,8395473
24485003,8833590
24491684,1093109
24519759,9717298
24550184,2165767
24551745,35517
24608456,1977171
24634206,1709837
24634525,9695412
24668356,3064880
24687644,3045842
24772888,6440978
24784974,9236844
24788395,3314360
24847589,7624403
24861483,9449253
24889191,4093947
24892283,1916396
24897486,1987937
24924103,7319546
24938633,6585762
24968193,5660798
24988956,4625661
25035183,164596
25039898,1183946
25048006,4399792
25076993,5139152
25081016,4997028
25081503,7154728
25085243,6923096
25139530,5304326
25154841,4312631
25200531,6712248
25208983,6197828
25232026,8851457
25247685,8300615
25266143,9589959
25266985,3896306
25278841,5359088
25291053,6439725
25291618,7400097
25304189,8598137
25336854,6058121
25377653,3736809
25485119,2110064
25488312,8366193
25509142,6698853
25576337,8948419
25607756,7218712
25626408,1624558
25654185,2592661
25663697,9731767
25700533,5748229
25712921,110559
25773750,5004931
25795431,6192437
25817943,4303403
25872650,973858
25889528,7753350
25914339,3127905
25959232,5278731
25966482,3556295
25980107,1352092
25990967,236700
25990974,5233588
25993728,4299144
25995663,5724594
26039988,8970753
26049376,2796951
26093494,7796907
26097677,4801778
26102804,3976431
26129680,7972089
26169874,7932785
26174484,1483702
26178730,340072
26182571,336496
26186661,6579592
26265072,2355965
26286773,7008879
26325480,5868382
26330164,4520351
26362920,6882019
26395810,4222022
26465522,8824071
26496342,8038476
26499020,5829609
26535709,9296008
26542079,2949604
26553458,784229
26645615,1048718
26646690,7582249
26654335,8213031
26656986,9453620
26662713,2049876
26667577,426841
26673721,852633
26717268,2743890
26735402,2873260
26758165,5471414
26788330,6620172
26809880,1897848
26816543,4656828
26855217,3095928
26865230,3753711
26923646,4273345
26939054,6957338
26953796,8226788
26985331,4340996
27003991,4308064
27030362,5389681
27046990,9537915
27060376,7214244
27075107,4603116
27077387,4248833
27135194,7585230
27145576,4347885
27148198,7635722
27181028,8539621
27188488,7446249
27243982,8872075
27251796,3303967
27273448,1582378
27297747,1633575
27320098,2964194
27362294,5297755
27367960,5707809
27373821,50654
27398613,6601893
27406277,795044
27422403,9514684
27437132,2519900
27460110,2054072
27464047,6369698
27513305,4521329
27514694,2587716
27530517,1522847
27531297,9649324
27560276,9279895
27589632,9186204
27592359,7184325
27595785,1746171
27626159,5468847
27655215,7257969
27660027,51886
27664437,5466586
27665175,7842450
27675743,532497
27685357,2732276
27708428,6477443
27710882,7430931
27761242,7282187
27780657,671767
27795054,7216861
27810709,403426
27834915,2548355
27836262,5126216
27838793,8634398
27857622,4956292
27892101,5887051
27897332,4630524
27903363,4760861
27936737,9439522
27946452,2666538
28036039,6401477
28038850,7037850
28059334,5319569
28138152,8055091
28196267,3129540
28223242,1808541
28242582,5567899
28245622,8460849
28266145,3421500
28344201,6187963
28407930,7223859
28454355,5798623
28476771,5763131
28498936,9917684
28545521,2413360
28610962,9696486
28613411,6539322
28619534,5751348
28625713,3791011
28654980,3529479
28658590,9587119
28665361,6035892
28679363,3528458
28702892,661261
28740556,5029564
28744167,8146543
28760104,8470259
28767927,9692335
28782308,2528195
28839069,5512
28925177,9072824
29015855,8295533
29017920,5671423
29070486,2130950
29135887,7152583
29154384,2175643
29165757,1948248
29178340,3944434
29180311,1301055
29203091,5726255
29231430,654688
29272549,959747
29280612,8073889
29312983,276395
29326874,2515561
29349716,9658226
29407392,9890918
29426291,5128197
29449519,6194203
29462900,4862944
29464984,2906499
29473945,3429387
29493582,1108265
29565246,6455952
29573162,2270548
29647329,2491458
29659614,2635747
29721137,6847749
29724822,1894520
29739871,9516873
29776016,4921737
29851877,2655245
29860654,298189
29883261,7988009
29974498,2961584
30012857,212677
30036990,7700347
30045115,2674975
30064740,5082479
30064842,8229935
30064991,6510316
30082051,6413997
30105030,8867199
30122360,4738923
30126044,1172274
30131349,7425006
30234397,1465225
30251175,6499708
30262469,90889
30264484,6172915
30269995,2959762
30350352,5823309
30379082,3774250
30429436,2672198
30464436,6250154
30471666,1084992
30477875,9808193
30517386,4741578
30518558,1531571
30518983,9210222
30537051,6250229
30546440,7741427
30556958,6258706
30572300,8803410
30576401,7057595
30592641,8868222
30594359,1723080
30608373,2838320
30616245,2085468
30640038,8727997
30662973,8408255
30663004,581024
30663946,2971842
30707741,3459945
30727229,8097017
30755074,302535
30760268,3816032
30787095,2380400
30829845,3321467
30901297,8999213
30917653,8976543
30929363,2812088
30946384,8139487
30960530,8199317
30988405,8295730
31023836,8384547
31023914,7825504
31036433,3369421
31051863,6380752
31073505,749374
31081451,7988943
31094267,6980620
31095748,4987133
31119332,6222929
31142427,5309780
31198163,5718934
31207026,5852677
31248850,3052158
31253759,2398031
31266486,530329
31275642,5870741
31302146,6912520
31315697,6366956
31332406,3880263
31359940,727847
31375720,3339268
31392182,3419953
31394832,7153787
31412867,5369389
31415650,2778285
31459300,2965446
31485787,5659733
31521429,3887623
31543190,3450466
31545584,5565341
31569947,8723109
31591042,9981802
31606295,3436901
31624054,1439352
31657517,8225933
31688111,3819974
31689816,1766498
31716339,5289037
31716797,6718265
31726622,8878316
31729903,4378891
31743686,8286295
31754490,766141
31801822,982628
31867346,4832363
31879102,7324613
31979729,5964945
32073627,1740276
32079173,4954361
32097572,7946455
32136728,3285801
32159300,5800596
32160242,3548345
32208497,83432
32230126,1145244
32238217,7385184
32247582,7239578
32279799,1780071
32320109,6685679
32349060,7548817
32363912,7405693
32378223,575455
32391177,823702
32404038,7934465
32431215,7464123
32432570,396603
32493185,9618055
32498878,8858773
32561590,7129769
32578561,5378658
32584280,4022183
32616026,4971838
32646884,5909625
32660098,3793341
32661142,6754761
32704548,4873640
32705248,3687296
32716038,1780468
32745134,6852949
32748806,1792721
32756796,1451012
32772065,4626627
32796946,2814663
32812618,8341318
32823066,1175973
32825774,8074293
32831380,9274378
32843341,1108933
32843781,2023880
32867948,9455659
32873473,1745983
32873948,8592720
32874088,8198144
32901808,1847113
32926456,7742658
32950064,8369474
32957939,45172
32966814,9859101
32975014,8223645
32978130,1091434
32980023,2688147
32994195,3615321
33037209,3802821
33037221,8362028
