key,rec
1,248
1,59
1,243
1,307
1,44
1,127
1,223
1,48
1,39
1,159
1,280
1,86
1,117
1,41
1,192
1,36
1,358
1,214
1,249
1,50
1,237
1,35
1,346
1,222
1,14
1,177
1,309
1,356
1,286
1,126
1,65
1,156
1,212
1,94
1,47
1,292
1,230
1,1
1,297
1,42
1,101
1,229
1,368
1,186
1,324
1,347
1,312
1,254
1,273
1,306
1,329
1,84
1,219
1,49
1,266
1,119
1,259
1,13
1,251
1,366
1,179
1,202
1,339
1,116
1,175
1,25
1,45
1,195
1,157
1,300
1,340
1,56
1,193
1,93
1,295
1,168
1,183
1,76
1,322
1,99
1,328
1,355
1,123
1,70
1,371
1,88
1,217
1,269
1,289
1,323
1,207
1,124
1,34
1,162
1,201
1,253
1,333
1,19
1,344
1,128
1,314
1,33
1,28
1,8
1,293
1,60
1,66
1,158
1,337
1,235
1,85
1,343
1,97
1,305
1,144
1,171
1,242
1,274
1,353
1,12
1,100
1,338
1,58
1,227
1,22
1,174
1,245
1,18
1,105
1,64
1,5
1,111
1,2
1,271
1,231
1,256
1,68
1,164
1,163
1,11
1,118
1,291
1,349
1,40
1,92
1,294
1,252
1,261
1,145
1,206
1,209
1,109
1,246
1,6
1,181
1,167
1,267
1,224
1,166
1,196
1,67
1,330
1,29
1,3
1,233
1,182
2,156
2,96
2,296
2,253
2,331
2,173
2,113
2,160
2,102
2,129
2,66
2,236
2,267
2,336
2,99
2,134
2,313
2,166
2,190
2,272
2,364
2,153
2,150
2,13
2,77
2,206
2,174
2,6
2,315
2,12
2,280
2,124
2,104
2,317
2,149
2,282
2,74
2,194
2,225
2,187
2,189
2,116
2,101
2,232
2,51
2,46
2,301
2,234
2,362
2,64
2,361
2,252
2,79
2,365
2,256
2,231
2,132
2,359
2,177
2,143
2,145
2,76
2,299
2,84
2,229
2,309
2,311
2,171
2,281
2,316
2,370
2,195
2,93
2,230
2,349
2,130
2,168
3,227
3,283
3,183
3,358
3,90
3,248
3,143
3,113
3,236
3,33
3,58
3,14
3,360
3,87
3,202
3,12
3,304
3,34
3,56
3,64
3,124
3,261
3,82
3,322
3,154
3,349
3,335
3,67
3,286
3,327
3,241
3,45
3,313
3,371
3,308
3,177
3,237
3,94
3,301
3,276
3,136
3,53
3,339
3,323
3,106
3,188
3,164
3,353
3,204
4,96
4,195
4,201
4,251
4,145
4,198
4,72
4,253
4,118
4,53
4,172
4,334
4,89
4,370
4,98
4,216
4,243
4,366
4,223
4,64
4,288
4,120
4,149
4,234
5,78
5,242
5,77
5,35
5,264
5,328
5,12
5,212
5,190
5,21
5,262
5,51
5,333
5,18
5,163
5,198
5,314
5,336
5,38
5,113
5,157
5,52
5,104
5,282
5,368
5,225
5,358
6,316
6,156
6,205
6,109
6,233
6,268
6,94
6,57
6,188
6,317
6,370
6,149
6,13
6,303
6,218
6,274
6,108
6,66
6,140
6,153
6,40
6,371
6,168
7,338
7,71
7,151
7,10
7,96
7,288
7,174
7,28
7,34
7,347
7,134
7,13
7,25
7,229
7,114
8,141
8,13
8,224
8,60
8,97
8,28
8,54
8,371
8,130
8,61
8,62
8,181
8,216
8,146
8,129
8,86
9,174
9,263
9,56
9,74
9,94
9,273
9,307
9,150
9,285
9,16
10,172
10,44
10,7
10,131
10,13
10,90
