key,rec
1,179
1,118
1,563
1,516
1,324
1,321
1,157
1,526
1,455
1,239
1,460
1,547
1,47
1,459
1,195
1,291
1,282
1,486
1,517
1,64
1,1
1,74
1,101
1,577
1,472
1,161
1,564
1,298
1,206
1,411
1,166
1,216
1,18
1,509
1,208
1,385
1,399
1,114
1,134
1,43
1,167
1,17
1,230
1,479
1,317
1,513
1,454
1,462
1,328
1,23
1,525
1,542
1,201
1,583
1,169
1,279
1,22
1,46
1,496
1,508
1,40
1,400
1,232
1,603
1,63
1,309
1,427
1,584
1,565
1,390
1,146
1,154
1,311
1,403
1,212
1,100
1,67
1,601
1,546
1,123
1,348
1,254
1,441
1,218
1,378
1,30
1,120
1,248
1,51
1,210
1,327
1,133
1,93
1,35
1,458
1,504
1,115
1,506
1,153
1,265
1,588
1,89
1,198
1,456
1,33
1,192
1,406
1,200
1,364
1,152
1,360
1,568
1,267
1,220
1,61
1,103
1,468
1,176
1,173
1,320
1,414
1,537
1,59
1,514
1,529
1,407
1,136
1,50
1,128
1,553
1,60
1,308
1,180
1,602
1,408
1,217
1,368
1,366
1,150
1,138
1,500
1,314
1,337
1,144
1,580
1,442
1,559
1,453
1,599
1,262
1,550
1,92
1,432
1,590
1,316
1,111
1,235
1,222
1,290
1,471
1,226
1,579
1,204
1,461
1,521
1,24
1,243
1,480
1,140
1,48
1,541
1,102
1,426
1,183
1,245
1,240
1,10
1,189
1,297
1,193
1,251
1,530
1,452
1,356
1,233
1,13
1,159
1,498
1,598
1,11
1,281
1,464
1,219
1,410
1,273
1,6
1,242
1,211
1,303
1,306
1,299
1,172
1,395
1,181
1,560
1,418
1,124
1,450
1,490
1,322
1,69
1,465
1,148
1,284
1,483
1,470
1,434
1,439
1,556
1,405
1,266
1,449
1,488
1,503
1,567
1,502
1,597
1,98
1,300
1,575
1,398
1,552
1,158
1,131
1,600
1,29
1,415
1,519
1,275
1,53
1,566
1,477
1,593
1,130
1,466
1,174
1,412
1,413
1,511
1,76
1,382
1,12
1,52
1,90
1,143
1,160
1,81
1,147
1,534
1,381
1,377
1,358
1,106
1,604
1,595
1,135
1,310
1,369
1,367
1,531
1,424
1,261
1,370
1,108
1,478
1,260
1,444
1,352
1,545
1,85
1,202
1,256
1,396
1,447
1,558
1,45
1,73
1,549
1,574
1,155
1,221
1,171
1,388
1,187
1,234
1,409
1,467
1,228
1,336
1,528
1,255
1,9
1,5
1,259
1,122
1,142
1,269
1,237
1,87
1,277
1,38
1,215
1,323
1,372
1,523
1,355
1,42
1,280
1,19
1,252
1,497
1,127
1,57
1,359
1,431
1,72
1,463
1,578
1,561
1,492
1,170
1,151
1,296
1,292
1,354
1,162
1,49
1,570
1,109
1,394
1,499
1,110
1,80
1,313
1,363
1,185
1,451
1,178
1,294
1,247
1,343
1,475
1,238
1,438
1,401
1,326
1,97
1,338
1,391
1,429
1,272
1,288
1,107
1,257
1,376
1,165
1,543
1,32
1,448
1,203
1,445
1,493
1,209
1,536
1,113
1,535
1,347
1,371
1,474
1,205
1,244
1,21
1,250
1,433
1,494
1,132
1,177
1,55
1,283
1,58
1,527
1,573
1,518
1,365
1,572
1,349
1,246
1,117
1,285
1,197
1,339
1,380
1,119
1,196
1,435
1,2
1,3
1,191
1,389
1,263
1,430
1,20
1,312
1,495
1,393
1,231
1,342
1,249
1,65
1,82
1,507
1,88
1,188
1,104
1,190
1,175
1,194
1,402
1,340
1,129
1,582
1,15
1,330
1,137
1,555
1,7
1,91
1,443
1,557
1,68
1,416
1,278
1,293
1,56
1,420
1,596
1,341
1,225
1,27
1,16
1,334
1,37
1,71
1,83
1,353
1,581
1,576
1,425
1,318
1,182
1,374
1,384
1,346
1,589
1,264
1,84
1,26
1,428
1,227
1,344
1,594
1,105
1,524
1,77
1,538
1,168
1,539
1,156
1,436
1,481
1,329
1,66
1,501
1,585
1,419
1,487
1,207
1,357
1,423
1,591
1,397
1,186
1,268
1,512
1,8
1,457
1,548
1,241
1,332
1,126
1,387
1,271
1,199
1,25
1,125
1,163
1,510
1,540
1,375
1,335
1,39
1,70
1,569
1,305
1,362
1,116
1,586
1,417
1,404
1,184
1,149
1,421
1,562
1,289
1,515
1,96
1,270
1,325
1,551
1,14
1,302
1,121
1,422
1,351
1,112
1,473
1,386
1,78
1,36
1,307
1,482
1,223
1,214
1,253
1,224
1,587
1,505
1,236
1,331
1,319
1,345
1,383
1,213
1,79
1,350
1,164
1,94
1,44
1,62
1,274
1,469
1,373
1,75
1,41
1,54
1,304
1,379
1,491
1,34
1,533
1,544
1,532
1,229
1,522
1,95
1,258
1,99
1,139
1,361
1,446
1,476
1,31
1,437
1,86
1,295
1,287
1,392
1,489
1,315
1,141
1,592
1,4
1,554
1,440
1,520
1,276
1,333
1,28
1,484
1,145
1,301
1,571
1,485
1,286
2,85
2,512
2,538
2,132
2,216
2,560
2,229
2,593
2,58
2,11
2,89
2,71
2,16
2,166
2,579
2,550
2,544
2,203
2,529
2,233
2,20
2,51
2,527
2,463
2,348
2,341
2,453
2,80
2,242
2,255
2,594
2,513
2,563
2,252
2,52
2,584
2,423
2,33
2,200
2,324
2,214
2,215
2,502
2,103
2,449
2,110
2,97
2,313
2,434
2,273
2,519
2,205
2,59
2,145
2,8
2,124
2,219
2,391
2,164
2,575
2,272
2,180
2,367
2,565
2,303
2,32
2,276
2,188
2,235
2,405
2,35
2,505
2,172
2,540
2,452
2,325
2,596
2,12
2,30
2,599
2,561
2,546
2,592
2,239
2,506
2,424
2,469
2,134
2,261
2,333
2,113
2,564
2,217
2,319
2,481
2,442
2,507
2,191
2,430
2,426
2,600
2,6
2,338
2,435
2,379
2,396
2,158
2,119
2,455
2,24
2,331
2,309
2,589
2,105
2,153
2,280
2,557
2,548
2,467
2,122
2,427
2,545
2,432
2,572
2,169
2,385
2,422
2,344
2,316
2,321
2,591
2,101
2,364
2,301
2,566
2,5
2,537
2,79
2,448
2,393
2,571
2,293
2,125
2,234
2,106
2,337
2,225
2,254
